month,overdose_raw,tx_raw,seizure_lbs_raw,overdose_12m_rolling
2015-01-01,164.25,NA,NA,1971
2015-02-01,181.83333333333334,NA,NA,2182
2015-03-01,199.5,NA,NA,2394
2015-04-01,285.3333333333333,NA,NA,3424
2015-05-01,298.5,NA,NA,3582
2015-06-01,309.5833333333333,NA,NA,3715
2015-07-01,325,NA,NA,3900
2015-08-01,365.8333333333333,NA,NA,4390
2015-09-01,386.8333333333333,NA,NA,4642
2015-10-01,409.9166666666667,NA,NA,4919
2015-11-01,424.25,NA,NA,5091
2015-12-01,515.5833333333334,NA,NA,6187
2016-01-01,435.25,1354,NA,6458
2016-02-01,722.8333333333334,1582,NA,6999
2016-03-01,664.5,1999,NA,7464
2016-04-01,762.3333333333333,1689,NA,7941
2016-05-01,929.5,1702,NA,8572
2016-06-01,889.5833333333333,1457,NA,9152
2016-07-01,904,1676,NA,9731
2016-08-01,914.8333333333333,1689,NA,10280
2016-09-01,876.8333333333333,1569,NA,10770
2016-10-01,782.9166666666667,1297,NA,11143
2016-11-01,1010.25,1705,NA,11729
2016-12-01,1196.5833333333335,1669,NA,12410
2017-01-01,1245.25,1870,NA,13220
2017-02-01,1225.8333333333335,1145,NA,13723
2017-03-01,1024.5,1510,NA,14083
2017-04-01,1161.3333333333333,1422,NA,14482
2017-05-01,1354.5,2000,NA,14907
2017-06-01,1494.5833333333333,1416,NA,15512
2017-07-01,1287,1469,NA,15895
2017-08-01,1355.8333333333333,1732,NA,16336
2017-09-01,1366.8333333333333,1455,NA,16826
2017-10-01,1146.9166666666667,1615,NA,17190
2017-11-01,1877.25,1383,NA,18057
2017-12-01,839.5833333333335,1963,NA,17700
2018-01-01,1136.25,1982,NA,17591
2018-02-01,2636.8333333333335,2182,NA,19002
2018-03-01,1427.5,1941,NA,19405
2018-04-01,562.3333333333333,1961,NA,18806
2018-05-01,1419.5,2342,NA,18871
2018-06-01,3450.583333333333,1927,NA,20827
2018-07-01,1672,2521,NA,21212
2018-08-01,1609.8333333333333,2374,NA,21466
2018-09-01,1708.8333333333333,2236,NA,21808
2018-10-01,3265.916666666667,1897,154.22964237592802,23927
2018-11-01,2107.25,1668,137.4409921138192,24157
2018-12-01,855.5833333333335,2239,75.889044570994,24173
2019-01-01,1503.25,2046,417.7869849460536,24540
2019-02-01,2745.8333333333335,1840,194.24471561073517,24649
2019-03-01,2244.5,2396,248.018029069031,25466
2019-04-01,627.3333333333333,2125,254.9130759551338,25531
2019-05-01,1602.5,2484,391.696488778586,25714
2019-06-01,4656.583333333333,2677,293.35913475367204,26920
2019-07-01,1979,2114,153.70166297797402,27227
2019-08-01,1970.8333333333333,2294,276.6765297594486,27588
2019-09-01,489.83333333333326,2611,205.64112372366935,26369
2019-10-01,6809.916666666667,2576,310.29723729508424,29913
2019-11-01,2848.25,2866,248.73245377760895,30654
2019-12-01,1641.5833333333335,2699,110.0613850167636,31440
2020-01-01,2391.25,2988,145.6331321271892,32328
2020-02-01,3754.8333333333335,2739,256.50387526196585,33337
2020-03-01,3411.5,2974,253.987974274312,34504
2020-04-01,2501.333333333333,1916,270.936528569949,36378
2020-05-01,6149.5,2389,240.36917125933783,40925
2020-06-01,6690.583333333333,2907,712.8538661680223,42959
2020-07-01,2089,3642,773.8693829696164,43069
2020-08-01,3617.833333333333,3160,701.9445295784918,44716
2020-09-01,3699.833333333333,3120,765.8709793174116,47926
2020-10-01,3132.916666666667,3466,1211.520900548461,44249
2020-11-01,8756.25,2933,803.6333446704248,50157
2020-12-01,0,3248,1192.925911914992,46303
2021-01-01,9292.25,3626,945.0664044962652,53204
2021-02-01,5529.833333333334,2543,796.7626949721665,54979
2021-03-01,4496.5,3054,651.8919947984189,56064
2021-04-01,3884.333333333333,3112,886.4112922729632,57447
2021-05-01,6803.5,2862,949.6155407338364,58101
2021-06-01,7370.583333333333,3182,1056.4099056382256,58781
2021-07-01,2903,2732,837.2743221258911,59595
2021-08-01,5295.833333333333,3245,1132.538625526778,61273
2021-09-01,4921.833333333333,3750,737.2732037209329,62495
2021-10-01,4429.916666666667,3481,1050.5104825528333,63792
2021-11-01,9459.25,3330,1116.00914058848,64495
2021-12-01,0,3965,549.2374882768039,65550
2022-01-01,10080.25,3441,862.4878125677881,66338
2022-02-01,6476.833333333334,3224,680.1785633786222,67285
2022-03-01,4431.5,3101,1051.5690043135912,67220
2022-04-01,4350.333333333333,2972,1292.439958865255,67686
2022-05-01,6758.5,4326,1080.172675865874,67641
2022-06-01,7435.583333333333,3691,700.1264243104421,67706
2022-07-01,3286,3828,2159.849703010679,68089
2022-08-01,5525.833333333333,3551,2301.46153128565,68319
2022-09-01,5068.833333333333,4033,1855.836049390552,68466
2022-10-01,4954.916666666667,3183,1939.5680827060592,68991
2022-11-01,10064.25,3502,2948.5139550807517,69596
2022-12-01,0,3750,2416.857469461489,70387
2023-01-01,10660.25,4136,1445.4724285035136,70967
2023-02-01,6638.833333333334,3949,2293.297218101104,71129
2023-03-01,4993.5,4018,2853.646426383899,71691
2023-04-01,5064.333333333333,3272,3220.3162933587314,72405
2023-05-01,7541.5,4179,2683.4555755405017,73188
2023-06-01,7816.583333333333,3496,2154.538022642051,73569
2023-07-01,3317,3816,1788.5308051155575,73600
2023-08-01,5513.833333333333,4820,1818.516595743091,73588
2023-09-01,4743.833333333333,4195,1460.1380430674092,73263
2023-10-01,1053.916666666667,3742,1772.430046867,69362
2023-11-01,9308.25,3377,2205.003282330678,68606
2023-12-01,0,3877,1345.886384637537,67666
2024-01-01,9458.25,3100,2015.582802144433,66464
2024-02-01,5596.833333333334,3107,1242.4467391328828,65422
2024-03-01,3365.5,4250,1449.119040971916,63794
2024-04-01,3261.333333333333,4143,1385.2729449839874,61991
2024-05-01,5549.5,4410,2348.1609560620736,59999
2024-06-01,5896.583333333333,4279,1427.496150216256,58079
2024-07-01,959,4117,2804.615623665471,55721
2024-08-01,3035.833333333333,3847,1685.3432191999163,53243
2024-09-01,2242.833333333333,4313,2207.849609309956,50742
2024-10-01,0,3982,1992.466747359852,46916
2024-11-01,7492.25,3567,1363.0163673076877,45100
2024-12-01,0,3650,1154.7896468306344,43319
2025-01-01,7960.25,3893,1027.787635473977,41821
2025-02-01,4329.833333333334,3595,611.230025147274,40554
2025-03-01,2026.5,4160,762.706459298091,39215
2025-04-01,1127.333333333333,1837,772.1668753850228,37081
2025-05-01,3226.5,2331,721.5901890645002,34758
2025-06-01,5027.583333333333,1599,843.6281167280921,33889
2025-07-01,0,2610,1379.226561368165,32419
