date,variable,raw_count
2015-01-01,Synthetic opioid overdose deaths,301
2015-02-01,Synthetic opioid overdose deaths,341
2015-03-01,Synthetic opioid overdose deaths,382
2015-04-01,Synthetic opioid overdose deaths,414
2015-05-01,Synthetic opioid overdose deaths,432
2015-06-01,Synthetic opioid overdose deaths,449
2015-07-01,Synthetic opioid overdose deaths,475
2015-08-01,Synthetic opioid overdose deaths,515
2015-09-01,Synthetic opioid overdose deaths,564
2015-10-01,Synthetic opioid overdose deaths,620
2015-11-01,Synthetic opioid overdose deaths,680
2015-12-01,Synthetic opioid overdose deaths,743
2016-01-01,Synthetic opioid overdose deaths,802
2016-02-01,Synthetic opioid overdose deaths,861
2016-03-01,Synthetic opioid overdose deaths,913
2016-04-01,Synthetic opioid overdose deaths,955
2016-05-01,Synthetic opioid overdose deaths,985
2016-06-01,Synthetic opioid overdose deaths,1007
2016-07-01,Synthetic opioid overdose deaths,1029
2016-08-01,Synthetic opioid overdose deaths,1060
2016-09-01,Synthetic opioid overdose deaths,1106
2016-10-01,Synthetic opioid overdose deaths,1170
2016-11-01,Synthetic opioid overdose deaths,1246
2016-12-01,Synthetic opioid overdose deaths,1319
2017-01-01,Synthetic opioid overdose deaths,1369
2017-02-01,Synthetic opioid overdose deaths,1398
2017-03-01,Synthetic opioid overdose deaths,1423
2017-04-01,Synthetic opioid overdose deaths,1444
2017-05-01,Synthetic opioid overdose deaths,1454
2017-06-01,Synthetic opioid overdose deaths,1462
2017-07-01,Synthetic opioid overdose deaths,1485
2017-08-01,Synthetic opioid overdose deaths,1513
2017-09-01,Synthetic opioid overdose deaths,1539
2017-10-01,Synthetic opioid overdose deaths,1567
2017-11-01,Synthetic opioid overdose deaths,1606
2017-12-01,Synthetic opioid overdose deaths,1644
2018-01-01,Synthetic opioid overdose deaths,1678
2018-02-01,Synthetic opioid overdose deaths,1707
2018-03-01,Synthetic opioid overdose deaths,1739
2018-04-01,Synthetic opioid overdose deaths,1802
2018-05-01,Synthetic opioid overdose deaths,1911
2018-06-01,Synthetic opioid overdose deaths,2050
2018-07-01,Synthetic opioid overdose deaths,2182
2018-08-01,Synthetic opioid overdose deaths,2277
2018-09-01,Synthetic opioid overdose deaths,2312
2018-10-01,Synthetic opioid overdose deaths,2284
2018-11-01,Synthetic opioid overdose deaths,2224
2018-12-01,Synthetic opioid overdose deaths,2156
2019-01-01,Synthetic opioid overdose deaths,2094
2019-02-01,Synthetic opioid overdose deaths,2044
2019-03-01,Synthetic opioid overdose deaths,2022
2019-04-01,Synthetic opioid overdose deaths,2054
2019-05-01,Synthetic opioid overdose deaths,2178
2019-06-01,Synthetic opioid overdose deaths,2403
2019-07-01,Synthetic opioid overdose deaths,2672
2019-08-01,Synthetic opioid overdose deaths,2927
2019-09-01,Synthetic opioid overdose deaths,3135
2019-10-01,Synthetic opioid overdose deaths,3262
2019-11-01,Synthetic opioid overdose deaths,3262
2019-12-01,Synthetic opioid overdose deaths,3224
2020-01-01,Synthetic opioid overdose deaths,3228
2020-02-01,Synthetic opioid overdose deaths,3387
2020-03-01,Synthetic opioid overdose deaths,3684
2020-04-01,Synthetic opioid overdose deaths,4026
2020-05-01,Synthetic opioid overdose deaths,4298
2020-06-01,Synthetic opioid overdose deaths,4424
2020-07-01,Synthetic opioid overdose deaths,4432
2020-08-01,Synthetic opioid overdose deaths,4398
2020-09-01,Synthetic opioid overdose deaths,4390
2020-10-01,Synthetic opioid overdose deaths,4457
2020-11-01,Synthetic opioid overdose deaths,4629
2020-12-01,Synthetic opioid overdose deaths,4849
2021-01-01,Synthetic opioid overdose deaths,5082
2021-02-01,Synthetic opioid overdose deaths,5237
2021-03-01,Synthetic opioid overdose deaths,5314
2021-04-01,Synthetic opioid overdose deaths,5346
2021-05-01,Synthetic opioid overdose deaths,5374
2021-06-01,Synthetic opioid overdose deaths,5426
2021-07-01,Synthetic opioid overdose deaths,5508
2021-08-01,Synthetic opioid overdose deaths,5606
2021-09-01,Synthetic opioid overdose deaths,5690
2021-10-01,Synthetic opioid overdose deaths,5745
2021-11-01,Synthetic opioid overdose deaths,5768
2021-12-01,Synthetic opioid overdose deaths,5762
2022-01-01,Synthetic opioid overdose deaths,5725
2022-02-01,Synthetic opioid overdose deaths,5656
2022-03-01,Synthetic opioid overdose deaths,5571
2022-04-01,Synthetic opioid overdose deaths,5509
2022-05-01,Synthetic opioid overdose deaths,5507
2022-06-01,Synthetic opioid overdose deaths,5588
2022-07-01,Synthetic opioid overdose deaths,5748
2022-08-01,Synthetic opioid overdose deaths,5957
2022-09-01,Synthetic opioid overdose deaths,6165
2022-10-01,Synthetic opioid overdose deaths,6312
2022-11-01,Synthetic opioid overdose deaths,6351
2022-12-01,Synthetic opioid overdose deaths,6308
2023-01-01,Synthetic opioid overdose deaths,6228
2023-02-01,Synthetic opioid overdose deaths,6153
2023-03-01,Synthetic opioid overdose deaths,6100
2023-04-01,Synthetic opioid overdose deaths,6055
2023-05-01,Synthetic opioid overdose deaths,5992
2023-06-01,Synthetic opioid overdose deaths,5890
2023-07-01,Synthetic opioid overdose deaths,5744
2023-08-01,Synthetic opioid overdose deaths,5559
2023-09-01,Synthetic opioid overdose deaths,5353
2023-10-01,Synthetic opioid overdose deaths,5156
2023-11-01,Synthetic opioid overdose deaths,4999
2023-12-01,Synthetic opioid overdose deaths,4877
2024-01-01,Synthetic opioid overdose deaths,4772
2024-02-01,Synthetic opioid overdose deaths,4660
2024-03-01,Synthetic opioid overdose deaths,4517
2024-04-01,Synthetic opioid overdose deaths,4318
2024-05-01,Synthetic opioid overdose deaths,4047
2024-06-01,Synthetic opioid overdose deaths,3717
2024-07-01,Synthetic opioid overdose deaths,3373
2024-08-01,Synthetic opioid overdose deaths,3069
2024-09-01,Synthetic opioid overdose deaths,2856
2024-10-01,Synthetic opioid overdose deaths,2763
2024-11-01,Synthetic opioid overdose deaths,2785
2024-12-01,Synthetic opioid overdose deaths,2861
2025-01-01,Synthetic opioid overdose deaths,2924
2025-02-01,Synthetic opioid overdose deaths,2921
2025-03-01,Synthetic opioid overdose deaths,2832
2025-04-01,Synthetic opioid overdose deaths,2673
2025-05-01,Synthetic opioid overdose deaths,2480
2025-06-01,Synthetic opioid overdose deaths,2278
2025-07-01,Synthetic opioid overdose deaths,2073
